2026-06-28 22:30:17.507 [main] DEBUG c.platform.framework.filter.RequestReplaceFilter - Filter 'requestReplaceFilter' configured for use
2026-06-28 22:30:17.539 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2026-06-28 22:30:17.774 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2026-06-28 22:30:17.980 [main] INFO  c.p.s.security.PasswordEncoderAutoConfiguration - [Security] BCryptPasswordEncoder 初始化成功 | 使用方式: @Autowired PasswordEncoder
2026-06-28 22:30:18.196 [main] INFO  com.platform.starter.redis.RedisAutoConfiguration - [Redis] RedisTemplate 初始化成功 | key: StringSerializer | value: GenericJackson2JsonRedisSerializer(纯JSON)
2026-06-28 22:30:18.207 [main] INFO  com.platform.starter.redis.RedisAutoConfiguration - [Redis] RedisUtil 初始化成功 | prefix: platform: | ttl: 10 MINUTES
2026-06-28 22:30:19.076 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-06-28 22:30:19.089 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-06-28 22:30:19.175 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [100.104.11.60:5672]
2026-06-28 22:30:22.508 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#4cd51e4e:0/SimpleConnection@3da6950f [delegate=amqp://admin@100.104.11.60:5672/, localPort=58651]
2026-06-28 22:30:22.513 [main] INFO  org.springframework.amqp.rabbit.core.RabbitAdmin - Auto-declaring a non-durable or auto-delete Exchange (sysUser.exchange) durable:true, auto-delete:true. It will be deleted by the broker if it shuts down, and can be redeclared by closing and reopening the connection.
2026-06-28 22:31:09.282 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-06-28 22:31:09.312 [main] INFO  com.platform.PlatformApplication - Starting PlatformApplication using Java 17.0.19 with PID 22724 (C:\Users\29141\Desktop\project\project-admin\target\classes started by 29141 in C:\Users\29141\Desktop\project)
2026-06-28 22:31:09.312 [main] DEBUG com.platform.PlatformApplication - Running with Spring Boot v3.2.5, Spring v6.1.6
2026-06-28 22:31:09.312 [main] INFO  com.platform.PlatformApplication - The following 1 profile is active: "dev"
2026-06-28 22:31:09.901 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-28 22:31:09.903 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-28 22:31:09.932 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18 ms. Found 0 Redis repository interfaces.
2026-06-28 22:31:10.091 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=6d2c847b-c65d-3fc0-bc22-1b631db9779e
2026-06-28 22:31:10.529 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-06-28 22:31:10.535 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-06-28 22:31:10.537 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-06-28 22:31:10.537 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-06-28 22:31:10.582 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-28 22:31:10.583 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1237 ms
2026-06-28 22:31:10.630 [main] DEBUG c.platform.framework.filter.RequestReplaceFilter - Filter 'requestReplaceFilter' configured for use
2026-06-28 22:31:10.663 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2026-06-28 22:31:10.885 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2026-06-28 22:31:11.105 [main] INFO  c.p.s.security.PasswordEncoderAutoConfiguration - [Security] BCryptPasswordEncoder 初始化成功 | 使用方式: @Autowired PasswordEncoder
2026-06-28 22:31:11.348 [main] INFO  com.platform.starter.redis.RedisAutoConfiguration - [Redis] RedisTemplate 初始化成功 | key: StringSerializer | value: GenericJackson2JsonRedisSerializer(纯JSON)
2026-06-28 22:31:11.362 [main] INFO  com.platform.starter.redis.RedisAutoConfiguration - [Redis] RedisUtil 初始化成功 | prefix: platform: | ttl: 10 MINUTES
2026-06-28 22:31:12.325 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
